protein,fscore
5L0Q,0.3889
3WKM,0.4878
4ZPT,0.6667
4ZS7,0.0588
4ZSO,0.0625
2YPV,0.2
4KI5,0.1463
4NZR,0.4225
4FFY,0.25
1TPX,0.0606
5IES,0.1538
5IKC,0.46
4HJ0,0.8
2XQB,0.36
4U6V,0.57
2J4W,0.27
4QCI,0.58
4TSA,0.59
3HI1,0.29
2VXQ,0.53
3G04,0.31
2ARJ,0.1
2CMR,0.5
5DHV,0.35
3SKJ,0.47
4LF3,0.68
5DUR,0.47
3B2U,0.43
5SX4,0.43
4AEI,0.17
4BZ2,0.33
4YUE,0.58
1JHL,0.51
5FB8,0.83
4MWF,0.56
4M62,0.7
4YQX,0.32
1A2Y,0.15
2BDN,0.16
5MES,0.38
4BZ1,0.17
2UZI,0.64
4OT1,0.16
5C7X,0.72
1FBI,0.26
3KS0,0.18
5LQB,0.4
5D70,0.62
1QFU,0.16
5CBA,0.53
5KVE,0.41
4EDW,0.39
1BVK,0.2
2XRA,0.56
1OAZ,0.71
1HYS,0.6957
5GGT,0.6471
4JPW,0.3333
2AEP,0.1538
4G6J,0.0714
4K94,0.1875
4G6M,0.1667
3ZKM,0.4681
3T2N,0.7391
1IQD,0.8108
4XAK,0.6316
4D3C,0.2857
5FCU,0.5625
3THM,0.6207
3IDX,0.1176
4GMS,0.0435
1YY9,0.087
3HI6,0.5366
2FD6,0.0741
3S37,0.5455
3LEV,0.32
4LEO,0.375
3I50,0.5806
2R29,0.1212
4HWB,0.0571
2ZCH,0.0667
4RWY,0.1111
3L5X,0.0909
5C0N,0.5
3Q3G,0.5714
5KVF,0.2778
5F3B,0.1176
1N8Z,0.2381
3X3F,0.4167
1JRH,0.56
4FP8,0.186
5F9W,0.0541
5KJR,0.6111
4ETQ,0.2791
4F2M,0.6364
3U7Y,0.2609
3V6O,0.3448
2ADF,0.8
5E94,0.5833
1FSK,0.069
4FQJ,0.381
3NFP,0.4444
5D8J,0.5854
5DUM,0.0625
3BGF,0.2667
5F3H,0.1143
4YWG,0.6154
5JQ6,0.3158
1W72,0.24
4HCR,0.4103
3WIH,0.7333
4XMP,0.1379
3PNW,0.4667
1G9M,0.55
2QQN,0.4286
4HC1,0.2
4Y5V,0.7273
5L6Y,0.4348
5A3I,0.1905
1OB1,0.24
4XWG,0.6818
4YPG,0.3
5H35,0.0625
2XWT,0.449
5D93,0.3333
3WXV,0.0556
4J6R,0.0377
2YBR,0.5217
4AL8,0.0645
3MA9,0.4651
2OZ4,0.7368
4O9H,0.0667
1H0D,0.7586
4CNI,0.2222
2R56,0.2632
3U9P,0.0667
1ORS,0.069
1V7M,0.0625
3LD8,0.0667
3PGF,0.7234
3GRW,0.0408
1LK3,0.3077
4JZJ,0.3684
2EIZ,0.4138
3MXW,0.2424
4DN4,0.2
4RGM,0.2667
4UV7,0.2667
4H8W,0.5854
3W9E,0.766
4KUC,0.2222
2JEL,0.5455
1XIW,0.0667
4DTG,0.1538
5UGY,0.0667
1BGX,0.3188
1OSP,0.3871
4O58,0.1875
3IU3,0.3871
4JLR,0.2308
4LIQ,0.0476
5CZX,0.56
1AR1,0.069
3Q1S,0.2308
3L5W,0.1
5K59,0.55
1MHP,0.6111
2NY7,0.2745
4K3J,0.3
4I77,0.0571
5HDQ,0.2759
1ZTX,0.08
4YDK,0.1176
3NGB,0.1111
3NH7,0.129
4QWW,0.4571
4F37,0.7368
4NNP,0.6452
2J88,0.7059
1FE8,0.5294
4DQO,0.2222
4DGI,0.1176
1EGJ,0.8333
3U2S,0.2143
5MVZ,0.125
4LU5,0.0769
4JPK,0.1364
5SY8,0.6207
4QTI,0.4348
4YDJ,0.1
1FNS,0.2857
3KR3,0.6429
1EO8,0.1463
5F96,0.1111
2DD8,0.4706
5JHL,0.6154
4XNY,0.1569
3EOA,0.2857
5EN2,0.0526
4OII,0.186
1C08,0.3571
4Z5R,0.6061
5T5F,0.6
3D85,0.3529
4IJ3,0.5806
5FHX,0.5455
2Q8A,0.6061
4Y5Y,0.7895
4LSU,0.2128
2W9E,0.6923
3SE9,0.093
1FJ1,0.1081
5KVG,0
4PP1,0
1RJL,0
5I9Q,0
4U0R,0
4UTA,0
1A14,0
4OKV,0
5KW9,0
4L5F,0
5F9O,0
4M48,0
4OGX,0
1JPS,0
4K2U,0
3VG9,0
3JWD,0
5BV7,0
3VI3,0
4HF5,0
3SQO,0
5TZT,0
4LQF,0
3RVV,0
3HMX,0
3GJF,0
5TZU,0
5TZ2,0
4HKX,0
5K9K,0
1E6J,0
3GI8,0
2VDK,0
5HYS,0
4CMH,0
4JR9,0
1NSN,0
4YK4,0
3UC0,0
3RKD,0
4AG4,0
1EZV,0
1NCA,0
4PP2,0
4LVN,0
4XVS,0
3S35,0
5KVD,0
1BQL,0
3CVH,0
2XQY,0
3LIZ,0
1WEJ,0
3B9K,0
1AHW,0
4IRZ,0
5B3J,0
4F15,0
5E8E,0
1MLC,0
1SY6,0
1UJ3,0
2NYY,0
