4OT1,0.22,24,4,clusters:1_2
4YPG,0.2,26,5,clusters:1_2
5MVZ,0.18,26,4,clusters:1_2
2UZI,0.73,26,16,clusters:1_2
3MXW,0.64,26,15,clusters:1_2
2JEL,0.5,21,9,clusters:1_2
1FSK,0.65,27,14,clusters:1_2
1C08,0.1,24,2,clusters:1_2
4DTG,0.42,21,8,clusters:1_2
3RVV,0.28,28,6,clusters:1_2
4AEI,0.51,20,9,clusters:1_2
2YBR,0.36,20,6,clusters:1_2
1FBI,0.1,24,2,clusters:1_2
4G6J,0.26,26,6,clusters:1_2
1NSN,0.51,25,11,clusters:1_2
4Y5V,0.68,28,17,clusters:1_2
1JHL,0.41,24,7,clusters:1_2
2ADF,0.34,26,7,clusters:1_2
4Z5R,0.3,26,7,clusters:1_2
4Y5Y,0.69,28,17,clusters:1_2
2VXQ,0.11,23,2,clusters:1_2
3KR3,0.35,21,7,clusters:1_2
1OB1,0.22,23,4,clusters:1_2
